Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Word frequency,Is Single Syllable,Concreteness,Letter frequency,Is Repeated
44926.0,560.0,manly,20380.0,1899.0,0.0,2.0,17.0,37.0,29.0,12.0,2.0,3.1156760000000003e-06,False,2.03,0.0466,False
44924.0,558.0,havoc,20001.0,1919.0,0.0,2.0,16.0,38.0,30.0,12.0,2.0,2.419932e-06,False,2.18,0.051160000000000004,False
44922.0,556.0,condo,20879.0,2012.0,0.0,2.0,17.0,35.0,29.0,14.0,3.0,1.960344e-06,False,4.76,0.0576,True
44921.0,555.0,judge,20011.0,2043.0,0.0,2.0,8.0,16.0,26.0,33.0,14.0,5.1865560000000004e-05,True,3.75,0.0445,False
44920.0,554.0,extra,15554.0,1562.0,1.0,5.0,20.0,35.0,28.0,10.0,1.0,3.939072e-05,False,2.46,0.07289999999999999,False
44919.0,553.0,poise,20281.0,1911.0,2.0,11.0,34.0,32.0,15.0,6.0,1.0,1.100621e-06,True,2.39,0.07139999999999999,False
44918.0,552.0,aorta,21937.0,2112.0,0.0,7.0,26.0,35.0,20.0,10.0,3.0,2.842526e-06,False,4.61,0.078,True
44917.0,551.0,excel,20490.0,2034.0,0.0,1.0,13.0,34.0,34.0,15.0,2.0,6.2910320000000005e-06,False,2.15,0.06589999999999999,True
44916.0,550.0,lunar,22180.0,2036.0,0.0,5.0,32.0,40.0,17.0,4.0,0.0,3.3237359999999998e-06,False,3.56,0.055400000000000005,False
44915.0,549.0,third,24137.0,2261.0,1.0,10.0,47.0,32.0,9.0,2.0,0.0,0.00015541219999999997,True,3.44,0.065,False
44914.0,548.0,slate,26010.0,2422.0,6.0,14.0,33.0,27.0,13.0,5.0,1.0,3.560934e-06,True,4.58,0.08120000000000001,False
44913.0,547.0,taper,22166.0,2108.0,0.0,8.0,28.0,30.0,20.0,11.0,3.0,1.4024260000000002e-06,False,3.56,0.0764,False
44912.0,546.0,chord,22336.0,2088.0,0.0,7.0,39.0,38.0,13.0,3.0,0.0,3.783996e-06,True,4.29,0.05339999999999999,False
44911.0,545.0,probe,22853.0,2160.0,0.0,6.0,24.0,32.0,24.0,11.0,3.0,8.528416e-06,True,3.62,0.0598,False
44910.0,544.0,rival,22176.0,2127.0,0.0,7.0,27.0,35.0,22.0,8.0,1.0,9.911916000000001e-06,False,3.03,0.05236,False
44909.0,543.0,usual,20824.0,2048.0,0.0,3.0,20.0,39.0,27.0,10.0,1.0,4.76482e-05,False,1.9,0.04820000000000001,True
44908.0,542.0,spoke,24101.0,2224.0,0.0,6.0,31.0,38.0,19.0,5.0,0.0,7.67222e-05,True,3.38,0.058940000000000006,False
44907.0,541.0,apply,22873.0,2150.0,0.0,5.0,28.0,38.0,22.0,7.0,1.0,5.697018e-05,False,2.5,0.036,True
44906.0,540.0,naive,21947.0,2075.0,1.0,7.0,24.0,32.0,24.0,11.0,1.0,3.747224e-06,False,1.85,0.07176,False
44905.0,539.0,knock,21157.0,2041.0,0.0,3.0,18.0,43.0,27.0,8.0,1.0,1.489196e-05,True,4.24,0.03708,True
44904.0,538.0,braid,23640.0,2165.0,0.0,10.0,36.0,35.0,14.0,3.0,0.0,2.083498e-06,True,4.38,0.054000000000000006,False
44903.0,537.0,infer,21199.0,1863.0,0.0,3.0,19.0,33.0,26.0,14.0,3.0,4.191756000000001e-06,False,2.15,0.0698,False
44902.0,536.0,joust,24899.0,2388.0,0.0,6.0,29.0,34.0,21.0,8.0,2.0,2.180454e-07,True,4.03,0.05169999999999999,False
44901.0,535.0,amber,23509.0,2261.0,0.0,6.0,22.0,33.0,24.0,12.0,3.0,8.013106e-06,False,4.35,0.0622,False
44899.0,533.0,adore,25577.0,2398.0,2.0,17.0,32.0,29.0,15.0,5.0,1.0,2.045672e-06,False,2.34,0.078,False
44898.0,532.0,torso,23873.0,2260.0,0.0,4.0,35.0,36.0,17.0,6.0,1.0,4.155722e-06,False,4.83,0.0728,True
44897.0,531.0,chafe,24646.0,2343.0,0.0,6.0,30.0,33.0,19.0,9.0,2.0,3.5859320000000005e-07,True,3.42,0.06459999999999999,False
44896.0,530.0,eject,22628.0,2200.0,0.0,2.0,11.0,35.0,36.0,14.0,2.0,5.02315e-07,False,3.22,0.07610000000000001,True
44895.0,529.0,study,2569.0,2405.0,0.0,6.0,30.0,33.0,19.0,10.0,2.0,0.00025894939999999994,False,3.7,0.048999999999999995,False
44894.0,528.0,undue,23739.0,2316.0,0.0,3.0,19.0,35.0,29.0,13.0,2.0,3.022344e-06,False,1.67,0.05920000000000001,True
44893.0,527.0,tepid,26051.0,2484.0,0.0,10.0,38.0,35.0,13.0,3.0,0.0,6.916036e-07,False,2.52,0.0706,False
44892.0,526.0,happy,25206.0,2356.0,0.0,6.0,28.0,39.0,19.0,6.0,1.0,9.546254000000001e-05,False,2.56,0.0402,True
44891.0,525.0,clean,26381.0,2424.0,1.0,17.0,36.0,31.0,12.0,3.0,0.0,5.083136e-05,True,3.07,0.0694,False
44890.0,524.0,itchy,24197.0,2329.0,0.0,8.0,28.0,40.0,18.0,5.0,1.0,8.960059999999999e-07,False,3.21,0.054000000000000006,False
44889.0,523.0,feast,27705.0,2725.0,5.0,13.0,25.0,27.0,19.0,10.0,2.0,1.1086804e-05,True,4.3,0.0776,False
44888.0,522.0,drive,26663.0,2451.0,1.0,12.0,32.0,30.0,18.0,6.0,1.0,6.78319e-05,True,3.86,0.06255999999999999,False
44887.0,521.0,prime,27437.0,2534.0,1.0,10.0,26.0,32.0,21.0,9.0,1.0,3.1051880000000005e-05,True,2.48,0.06060000000000001,False
44886.0,520.0,axiom,24288.0,2382.0,0.0,5.0,19.0,33.0,27.0,13.0,3.0,1.9975440000000003e-06,False,2.0,0.05050000000000001,False
44885.0,519.0,brave,24991.0,2396.0,1.0,6.0,17.0,27.0,27.0,18.0,5.0,1.560208e-05,True,2.26,0.05936,False
44884.0,518.0,avert,24749.0,2400.0,0.0,7.0,26.0,35.0,22.0,9.0,1.0,1.7037139999999998e-06,False,2.41,0.07456,False
44882.0,516.0,there,27465.0,2530.0,0.0,14.0,35.0,33.0,14.0,4.0,0.0,0.001763988,True,2.2,0.09440000000000001,True
44881.0,515.0,baker,25576.0,2541.0,0.0,5.0,16.0,23.0,24.0,22.0,10.0,1.3764259999999999e-05,False,4.71,0.058940000000000006,False
44880.0,514.0,snarl,27475.0,2650.0,0.0,5.0,21.0,31.0,24.0,15.0,4.0,1.491962e-06,True,4.0,0.0624,False
44879.0,513.0,maple,26536.0,2467.0,1.0,6.0,26.0,36.0,21.0,8.0,1.0,4.425158e-06,False,4.46,0.05900000000000001,False
44877.0,511.0,valet,24660.0,2356.0,0.0,4.0,22.0,38.0,25.0,9.0,1.0,2.005048e-06,False,4.26,0.07056,False
44876.0,510.0,medal,25993.0,2438.0,0.0,5.0,25.0,38.0,23.0,8.0,1.0,4.475189999999999e-06,False,4.89,0.0638,False
44875.0,509.0,unite,27467.0,2575.0,1.0,11.0,31.0,33.0,18.0,5.0,1.0,4.5379440000000006e-06,False,2.58,0.0772,False
44874.0,508.0,rainy,28984.0,2678.0,1.0,16.0,38.0,31.0,11.0,3.0,1.0,3.3627880000000003e-06,False,4.32,0.059800000000000006,False
44873.0,507.0,spell,27213.0,2531.0,0.0,4.0,24.0,37.0,24.0,9.0,1.0,1.427038e-05,True,3.32,0.058399999999999994,True
44872.0,506.0,begin,26096.0,2439.0,0.0,6.0,26.0,36.0,23.0,7.0,1.0,7.206562e-05,False,2.56,0.06040000000000001,False
44871.0,505.0,stale,31068.0,3013.0,2.0,19.0,30.0,27.0,15.0,6.0,2.0,2.71308e-06,True,3.48,0.0812,False
44870.0,504.0,dream,29743.0,2751.0,5.0,14.0,31.0,29.0,15.0,4.0,1.0,5.3801559999999994e-05,True,2.6,0.0678,False
44869.0,503.0,photo,27330.0,2565.0,0.0,5.0,34.0,43.0,15.0,3.0,0.0,2.8458819999999997e-05,False,4.93,0.06420000000000001,True
44868.0,502.0,aloud,29554.0,2819.0,1.0,18.0,31.0,30.0,15.0,4.0,1.0,1.154556e-05,False,3.1,0.0536,False
44867.0,501.0,inept,27670.0,2640.0,0.0,6.0,30.0,39.0,20.0,6.0,1.0,8.402978000000001e-07,False,1.74,0.0754,False
44865.0,499.0,aptly,26498.0,2572.0,0.0,3.0,26.0,41.0,23.0,7.0,1.0,2.0593580000000002e-06,False,1.66,0.0504,False
44864.0,498.0,waltz,24672.0,2496.0,0.0,2.0,11.0,29.0,35.0,19.0,3.0,2.0002379999999997e-06,True,4.52,0.047548,False
44863.0,497.0,libel,25156.0,2536.0,0.0,3.0,15.0,32.0,32.0,16.0,2.0,1.56705e-06,False,2.21,0.059,True
44862.0,496.0,sneak,27905.0,2636.0,0.0,7.0,28.0,36.0,21.0,7.0,1.0,4.479848e-06,True,2.82,0.06994,False
44861.0,495.0,carry,27609.0,2615.0,0.0,4.0,22.0,35.0,24.0,12.0,3.0,5.760598e-05,False,4.04,0.049999999999999996,True
44859.0,493.0,foggy,28953.0,2817.0,0.0,2.0,13.0,35.0,32.0,15.0,3.0,1.3907100000000001e-06,False,3.8,0.0314,True
44858.0,492.0,fault,28947.0,2768.0,0.0,7.0,27.0,35.0,22.0,8.0,1.0,3.070892e-05,True,2.41,0.0526,False
44857.0,491.0,mummy,29279.0,3021.0,0.0,1.0,4.0,14.0,27.0,37.0,18.0,3.6918080000000006e-06,False,4.72,0.024,True
44855.0,489.0,grove,28637.0,2794.0,0.0,4.0,18.0,30.0,28.0,17.0,3.0,7.545198e-06,True,4.76,0.05896,False
44854.0,488.0,denim,28741.0,2769.0,0.0,5.0,29.0,40.0,20.0,5.0,0.0,1.5921079999999998e-06,False,4.77,0.0668,False
44853.0,487.0,quirk,28322.0,2794.0,0.0,3.0,23.0,39.0,24.0,9.0,2.0,9.261552e-07,True,2.25,0.033330000000000005,False
44852.0,486.0,exist,28612.0,2805.0,0.0,5.0,24.0,38.0,23.0,8.0,1.0,5.2841659999999996e-05,False,2.38,0.07110000000000001,False
44850.0,484.0,spade,30459.0,2854.0,1.0,8.0,29.0,36.0,19.0,6.0,1.0,1.8603980000000002e-06,True,4.46,0.0674,False
44849.0,483.0,catch,30403.0,3123.0,0.0,7.0,18.0,20.0,15.0,16.0,23.0,4.1496959999999996e-05,True,4.11,0.05800000000000001,True
44848.0,482.0,floor,28906.0,2752.0,0.0,3.0,23.0,44.0,24.0,6.0,0.0,0.00010559453999999999,True,4.8,0.054400000000000004,True
44847.0,481.0,equal,27197.0,2677.0,0.0,5.0,23.0,35.0,25.0,11.0,2.0,6.838432e-05,False,2.56,0.05619,False
44846.0,480.0,ionic,29151.0,2947.0,0.0,2.0,13.0,25.0,28.0,21.0,11.0,5.003394e-06,False,2.14,0.06200000000000001,True
44845.0,479.0,valid,28575.0,2752.0,0.0,4.0,28.0,38.0,21.0,8.0,1.0,2.209962e-05,False,2.27,0.048960000000000004,False
44844.0,478.0,enjoy,26878.0,2654.0,0.0,3.0,12.0,29.0,33.0,20.0,3.0,4.2062760000000004e-05,False,2.29,0.05870000000000001,False
44843.0,477.0,howdy,28408.0,2668.0,0.0,2.0,13.0,32.0,32.0,17.0,4.0,3.79938e-07,False,2.27,0.0446,False
44842.0,476.0,vigor,26905.0,2642.0,0.0,2.0,15.0,35.0,31.0,14.0,2.0,2.356196e-06,False,2.27,0.04696,False
44841.0,475.0,dandy,29026.0,2840.0,0.0,2.0,11.0,23.0,29.0,24.0,11.0,1.3049859999999998e-06,False,2.73,0.051000000000000004,True
44840.0,474.0,sloth,32522.0,2987.0,1.0,10.0,38.0,34.0,13.0,3.0,0.0,8.071266e-07,True,4.83,0.066,False
44839.0,473.0,march,30935.0,2885.0,0.0,9.0,30.0,35.0,19.0,6.0,1.0,8.400524e-05,True,4.03,0.051000000000000004,False
44837.0,471.0,sting,32288.0,2969.0,1.0,10.0,30.0,33.0,18.0,8.0,2.0,4.37337e-06,True,4.41,0.06220000000000001,False
44836.0,470.0,twine,30088.0,2775.0,0.0,6.0,28.0,40.0,20.0,5.0,1.0,1.080312e-06,True,4.03,0.0764,False
44835.0,469.0,leave,28202.0,2696.0,0.0,4.0,16.0,34.0,31.0,12.0,1.0,0.00015926379999999998,True,2.53,0.07836,True
44834.0,468.0,scorn,31223.0,2859.0,0.0,8.0,31.0,35.0,20.0,6.0,1.0,3.7863999999999994e-06,True,2.59,0.0586,False
44833.0,467.0,scald,30477.0,2829.0,0.0,4.0,23.0,36.0,24.0,11.0,2.0,2.44763e-07,True,3.42,0.0512,False
44832.0,466.0,usurp,31355.0,3007.0,0.0,3.0,21.0,38.0,26.0,9.0,1.0,5.600184e-07,False,2.32,0.039599999999999996,True
44831.0,465.0,soggy,30985.0,2888.0,0.0,2.0,18.0,38.0,28.0,11.0,2.0,9.392799999999999e-07,False,3.28,0.039599999999999996,True
44830.0,464.0,brisk,31706.0,2884.0,0.0,5.0,23.0,38.0,24.0,7.0,1.0,2.858436e-06,True,2.5,0.043140000000000005,False
44829.0,463.0,admit,28994.0,2677.0,0.0,10.0,25.0,34.0,22.0,8.0,1.0,2.819082e-05,False,2.32,0.062,False
44828.0,462.0,grate,32777.0,3077.0,1.0,14.0,29.0,28.0,16.0,8.0,3.0,2.0024779999999997e-06,True,4.82,0.0766,False
44827.0,461.0,glory,31509.0,2893.0,0.0,6.0,30.0,39.0,19.0,5.0,0.0,2.791356e-05,False,1.45,0.043,False
44826.0,460.0,saint,34455.0,3119.0,1.0,14.0,35.0,29.0,15.0,5.0,1.0,2.562898e-05,True,3.45,0.0746,False
44825.0,459.0,recap,31976.0,2900.0,0.0,5.0,30.0,35.0,21.0,8.0,1.0,7.43256e-07,False,2.48,0.0638,False
44824.0,458.0,alike,31277.0,2843.0,0.0,6.0,20.0,33.0,27.0,12.0,2.0,1.421084e-05,False,2.38,0.06594,False
44822.0,456.0,stick,33102.0,3038.0,1.0,9.0,36.0,35.0,14.0,4.0,0.0,2.80941e-05,True,4.59,0.05194,False
44821.0,455.0,chute,33418.0,3073.0,0.0,11.0,37.0,36.0,12.0,3.0,0.0,1.157864e-06,True,4.61,0.0676,False
44819.0,453.0,doubt,33344.0,3011.0,1.0,12.0,32.0,34.0,16.0,4.0,0.0,7.28667e-05,True,1.79,0.0504,False
44818.0,452.0,thyme,32142.0,2938.0,1.0,5.0,24.0,41.0,23.0,5.0,0.0,2.429484e-06,True,4.96,0.0652,False
44817.0,451.0,alpha,29497.0,2706.0,0.0,3.0,19.0,40.0,28.0,9.0,1.0,1.2388300000000001e-05,False,1.81,0.056799999999999996,True
44816.0,450.0,booze,29147.0,2883.0,0.0,1.0,7.0,27.0,38.0,23.0,4.0,1.9134640000000003e-06,True,4.48,0.059148,True
44815.0,449.0,tibia,27887.0,2675.0,0.0,1.0,14.0,40.0,30.0,12.0,2.0,1.400848e-06,False,4.48,0.0656,True
44814.0,448.0,lofty,29237.0,2777.0,0.0,4.0,19.0,34.0,27.0,13.0,3.0,4.62448e-06,False,1.89,0.04959999999999999,False
44813.0,447.0,theme,32172.0,2909.0,0.0,8.0,29.0,40.0,18.0,4.0,0.0,2.572092e-05,True,2.72,0.08720000000000001,True
44812.0,446.0,class,31962.0,3001.0,0.0,4.0,21.0,32.0,22.0,13.0,7.0,0.000162074,True,3.85,0.055200000000000006,True
44811.0,445.0,leery,30992.0,2873.0,0.0,3.0,17.0,37.0,28.0,12.0,2.0,3.2902799999999997e-07,False,2.03,0.07600000000000001,True
44810.0,444.0,taunt,32734.0,3022.0,0.0,4.0,19.0,27.0,21.0,16.0,13.0,1.019362e-06,True,2.93,0.0718,True
44809.0,443.0,whoop,32733.0,2970.0,0.0,1.0,16.0,47.0,29.0,7.0,1.0,8.112173999999999e-07,True,3.13,0.0508,True
44808.0,442.0,inter,32018.0,2889.0,0.0,6.0,25.0,36.0,23.0,8.0,1.0,1.81771e-05,False,2.22,0.0836,False
44807.0,441.0,gully,31191.0,2877.0,0.0,1.0,9.0,27.0,31.0,25.0,7.0,1.280928e-06,False,4.33,0.029599999999999998,True
44806.0,440.0,charm,35724.0,3149.0,1.0,12.0,32.0,34.0,16.0,5.0,1.0,1.0215244e-05,True,2.76,0.051000000000000004,False
44805.0,439.0,fungi,31903.0,2928.0,0.0,2.0,18.0,41.0,28.0,9.0,1.0,5.215697999999999e-06,False,4.6,0.041400000000000006,False
44804.0,438.0,prize,35343.0,3166.0,0.0,5.0,12.0,20.0,32.0,26.0,5.0,1.4332400000000002e-05,True,4.45,0.055948,False
44803.0,437.0,onset,33660.0,3009.0,0.0,4.0,29.0,40.0,21.0,6.0,1.0,1.5109339999999999e-05,False,2.14,0.08520000000000001,False
44802.0,436.0,chief,34281.0,3072.0,1.0,6.0,32.0,38.0,18.0,5.0,0.0,6.500580000000001e-05,True,4.26,0.06220000000000001,False
44801.0,435.0,gauze,30214.0,2866.0,0.0,2.0,11.0,24.0,31.0,25.0,8.0,1.7240499999999998e-06,True,4.62,0.05214799999999999,False
44799.0,433.0,irony,34716.0,3046.0,0.0,6.0,29.0,34.0,21.0,8.0,1.0,7.745302e-06,False,1.59,0.05840000000000001,False
44798.0,432.0,clown,36737.0,3175.0,1.0,8.0,29.0,36.0,20.0,6.0,1.0,2.5680060000000004e-06,True,4.9,0.0468,False
44797.0,431.0,needy,33700.0,2927.0,0.0,2.0,21.0,41.0,26.0,9.0,1.0,3.5299500000000004e-06,False,2.28,0.078,True
44796.0,430.0,woven,33549.0,2933.0,0.0,2.0,13.0,32.0,32.0,17.0,3.0,5.161908e-06,False,3.15,0.061160000000000006,False
44795.0,429.0,merit,35888.0,3123.0,0.0,7.0,33.0,37.0,17.0,5.0,0.0,9.969728e-06,False,1.66,0.075,False
44794.0,428.0,waste,35617.0,3186.0,1.0,7.0,19.0,27.0,24.0,17.0,5.0,4.196058e-05,True,3.24,0.078,False
44793.0,427.0,treat,38245.0,3249.0,1.0,22.0,32.0,26.0,14.0,5.0,1.0,3.3986900000000005e-05,True,3.79,0.09080000000000002,True
44792.0,426.0,shrug,33965.0,2987.0,0.0,4.0,23.0,36.0,26.0,10.0,1.0,5.191166000000001e-06,True,4.21,0.0464,False
44791.0,425.0,twang,34938.0,3172.0,0.0,3.0,22.0,43.0,25.0,7.0,1.0,4.4653960000000006e-07,True,2.96,0.0568,False
44790.0,424.0,twice,35815.0,3173.0,1.0,6.0,28.0,38.0,21.0,6.0,1.0,3.7745419999999994e-05,True,2.93,0.0686,False
44789.0,423.0,gruel,35105.0,3087.0,0.0,3.0,19.0,39.0,29.0,9.0,1.0,4.168376e-07,False,3.93,0.0556,False
44788.0,422.0,poker,35376.0,3180.0,0.0,4.0,17.0,30.0,27.0,17.0,5.0,3.473986e-06,False,4.2,0.05834,False
44787.0,421.0,khaki,31652.0,2968.0,0.0,2.0,17.0,33.0,28.0,16.0,4.0,1.3224e-06,False,4.19,0.045680000000000005,True
44786.0,420.0,hunky,35276.0,3185.0,0.0,1.0,11.0,33.0,25.0,22.0,7.0,2.73659e-07,False,2.42,0.03674,False
44785.0,419.0,label,34198.0,3076.0,0.0,4.0,18.0,32.0,29.0,15.0,2.0,1.890204e-05,False,4.46,0.061399999999999996,True
44784.0,418.0,glean,37301.0,3243.0,0.0,6.0,23.0,37.0,24.0,8.0,1.0,8.634564e-07,True,2.5,0.0678,False
44783.0,417.0,cling,37654.0,3312.0,0.0,4.0,20.0,34.0,27.0,13.0,2.0,3.4261119999999996e-06,True,3.59,0.045,False
44782.0,416.0,patty,36223.0,3019.0,0.0,2.0,16.0,39.0,29.0,12.0,1.0,3.3401740000000004e-06,False,4.38,0.06060000000000001,True
44781.0,415.0,unfit,35516.0,3187.0,0.0,3.0,24.0,38.0,25.0,9.0,1.0,2.294658e-06,False,1.89,0.055600000000000004,False
44780.0,414.0,smear,36223.0,3190.0,0.0,2.0,16.0,39.0,29.0,12.0,2.0,2.323496e-06,True,3.66,0.0718,False
44779.0,413.0,alien,38841.0,3395.0,3.0,17.0,31.0,29.0,15.0,4.0,0.0,1.2803640000000002e-05,False,3.52,0.07780000000000001,False
44778.0,412.0,buggy,37350.0,3428.0,0.0,1.0,9.0,29.0,34.0,22.0,5.0,2.064934e-06,False,4.18,0.0206,True
44777.0,411.0,rhyme,37229.0,3336.0,0.0,4.0,22.0,39.0,25.0,8.0,1.0,3.20681e-06,True,3.29,0.059,False
44776.0,410.0,youth,38381.0,3327.0,1.0,5.0,17.0,31.0,29.0,15.0,3.0,5.3241140000000004e-05,True,3.28,0.05500000000000001,False
44775.0,409.0,coyly,34909.0,3380.0,0.0,0.0,4.0,17.0,28.0,35.0,15.0,4.2538860000000003e-07,False,1.92,0.0366,True
44774.0,408.0,quart,36662.0,3303.0,0.0,5.0,20.0,33.0,27.0,13.0,2.0,1.8102859999999999e-06,True,4.57,0.052390000000000006,False
44773.0,407.0,cramp,39250.0,3369.0,1.0,8.0,26.0,33.0,19.0,10.0,2.0,8.174342000000001e-07,True,4.09,0.04259999999999999,False
44772.0,406.0,bluff,37353.0,3171.0,0.0,2.0,14.0,42.0,31.0,10.0,1.0,3.2540700000000003e-06,True,3.0,0.0254,True
44771.0,405.0,upset,37791.0,3213.0,0.0,5.0,30.0,38.0,20.0,6.0,1.0,1.929382e-05,False,2.41,0.0662,False
44770.0,404.0,stomp,40650.0,3490.0,0.0,7.0,26.0,32.0,21.0,11.0,2.0,7.949276e-07,True,4.41,0.054400000000000004,False
44769.0,403.0,motto,38384.0,3285.0,0.0,1.0,11.0,36.0,36.0,14.0,1.0,2.922292e-06,False,2.48,0.07120000000000001,True
44768.0,402.0,cinch,39171.0,3507.0,0.0,2.0,15.0,24.0,22.0,25.0,13.0,3.4101939999999996e-07,True,3.07,0.0508,True
44767.0,401.0,elope,39228.0,3339.0,0.0,4.0,22.0,32.0,26.0,13.0,2.0,2.621828e-07,False,2.81,0.07880000000000001,True
44766.0,400.0,power,39813.0,3401.0,2.0,6.0,19.0,29.0,24.0,15.0,4.0,0.0003364674,False,2.04,0.0616,False
44764.0,398.0,tryst,43099.0,3665.0,0.0,3.0,26.0,41.0,23.0,6.0,1.0,4.522726e-07,True,2.04,0.06499999999999999,True
44763.0,397.0,aphid,39086.0,3367.0,0.0,6.0,24.0,36.0,23.0,9.0,2.0,4.014522e-07,False,4.76,0.05500000000000001,False
44762.0,396.0,trite,42237.0,3685.0,0.0,4.0,14.0,22.0,22.0,23.0,15.0,5.52296e-07,True,2.09,0.0884,True
44761.0,395.0,angry,39667.0,3358.0,0.0,5.0,27.0,38.0,21.0,7.0,1.0,4.058566e-05,False,2.53,0.0498,False
44760.0,394.0,flock,42574.0,3548.0,0.0,4.0,22.0,37.0,27.0,9.0,1.0,6.199398e-06,True,4.67,0.03454,False
44759.0,393.0,wacky,39611.0,3345.0,0.0,3.0,18.0,39.0,27.0,10.0,2.0,3.55536e-07,False,2.0,0.03234,False
44758.0,392.0,roomy,38769.0,3280.0,0.0,2.0,17.0,41.0,28.0,10.0,2.0,4.4344219999999994e-07,False,2.83,0.0508,True
44757.0,391.0,wedge,39234.0,3353.0,0.0,2.0,11.0,32.0,37.0,17.0,2.0,4.073570000000001e-06,True,4.41,0.06939999999999999,True
44756.0,390.0,liver,40549.0,3388.0,0.0,4.0,16.0,26.0,25.0,20.0,8.0,2.454614e-05,False,4.68,0.06196,False
44755.0,389.0,bland,46246.0,3727.0,0.0,7.0,31.0,38.0,18.0,4.0,0.0,2.967486e-06,True,2.38,0.0494,False
44754.0,388.0,night,46910.0,3870.0,1.0,8.0,27.0,27.0,17.0,13.0,7.0,0.0002603856,True,4.52,0.0618,False
